R,G,B
250,91,88
252,3,1
249,4,1
253,3,4
255,3,0
252,4,5
251,6,3
254,5,3
253,5,3
254,6,4
252,7,2
253,8,3
253,8,3
254,9,4
254,11,3
254,11,3
254,11,3
254,12,1
254,13,2
254,13,2
253,15,3
254,16,3
253,17,3
254,18,4
253,20,3
253,20,3
253,20,3
253,22,2
254,23,3
253,24,3
254,25,4
254,25,2
253,29,4
251,30,4
252,31,4
252,31,4
252,33,3
253,34,4
252,35,2
252,35,2
253,36,3
252,38,4
252,38,2
252,40,3
253,41,3
252,43,4
253,44,3
253,44,3
253,45,7
254,46,8
253,47,7
252,49,8
253,50,7
253,52,8
252,54,7
252,54,7
253,56,3
254,57,4
253,58,2
253,60,3
254,61,2
253,63,3
253,65,2
254,66,3
255,67,3
253,68,3
254,69,2
254,71,3
255,72,2
255,74,3
255,74,3
255,76,2
252,79,3
252,79,2
252,81,3
253,82,4
253,84,3
254,85,4
252,86,2
253,87,3
254,89,0
254,90,1
254,90,1
253,92,2
254,93,2
254,95,3
255,96,4
255,96,4
253,99,1
253,99,1
253,101,2
254,102,3
253,104,2
252,105,2
253,106,3
252,106,3
254,106,6
254,106,6
254,108,7
254,108,5
253,110,6
254,111,6
254,113,7
254,113,7
255,115,2
255,116,3
254,117,3
254,119,2
254,121,3
255,122,3
254,124,4
254,124,4
254,126,3
254,126,3
255,127,2
254,129,3
253,129,3
254,130,4
255,132,3
254,133,3
253,136,7
253,136,5
254,137,6
252,138,6
253,139,6
253,141,5
254,142,6
254,142,6
253,146,8
253,146,8
253,147,9
254,149,8
252,149,8
253,151,7
253,152,8
253,152,8
254,154,8
255,155,9
254,156,7
255,157,8
254,159,7
255,160,8
255,162,7
255,162,7
254,165,3
254,166,4
254,166,4
255,167,5
255,169,4
254,171,5
255,172,6
255,172,6
253,174,9
253,175,7
254,176,8
254,178,7
255,179,8
254,180,7
255,181,8
253,181,8
254,183,5
255,184,6
255,184,6
255,186,5
254,188,6
255,189,5
255,189,5
255,191,6
254,193,6
253,194,6
253,194,6
254,195,7
254,197,6
254,197,6
253,198,7
253,198,7
254,200,4
253,201,4
253,201,3
254,202,4
253,204,3
253,204,3
253,206,2
253,206,2
253,206,2
254,207,3
254,207,3
254,208,1
254,209,2
254,209,2
254,209,2
255,210,3
254,212,4
254,212,4
254,212,4
253,213,3
254,214,4
254,214,4
254,214,4
252,215,2
253,216,3
255,215,3
255,215,3
254,214,4
252,215,4
250,216,4
247,216,3
246,216,4
242,217,3
240,216,2
238,217,4
236,217,3
232,217,4
230,216,3
226,216,4
226,216,4
223,217,1
222,217,1
220,217,2
216,216,4
211,215,4
207,216,5
203,216,5
202,216,5
196,216,7
193,215,6
191,215,7
186,214,7
181,213,6
177,212,6
174,211,7
172,211,8
163,213,4
162,212,3
161,210,4
157,209,3
153,208,3
148,207,3
143,208,4
140,207,3
136,204,5
133,204,6
131,203,5
125,203,6
120,202,6
115,201,6
111,201,5
109,201,6
102,200,3
101,198,3
97,199,2
92,198,2
89,196,2
84,195,2
79,194,2
78,193,2
71,194,2
68,193,3
66,193,2
62,191,2
57,190,3
53,189,3
50,189,2
49,187,3
44,186,4
42,186,3
40,185,4
36,184,4
32,184,3
28,183,3
25,182,3
24,181,2
22,180,5
21,179,4
18,179,5
16,178,4
13,177,3
10,176,4
8,176,3
6,176,5
4,175,8
4,175,8
4,176,6
4,175,8
4,175,8
3,174,10
3,173,12
3,173,14
4,172,14
4,172,14
3,173,15
3,172,19
3,171,22
4,172,25
3,172,27
3,172,29
3,171,32
3,171,34
3,171,36
4,171,40
2,171,44
2,170,48
3,171,50
3,171,52
3,170,56
3,169,57
2,170,59
3,170,64
3,169,69
4,169,74
2,170,75
2,169,77
3,170,82
3,169,83
3,169,87
3,168,91
2,168,94
3,169,97
3,169,97
3,169,97
6,166,102
6,166,104
4,166,106
5,167,108
5,167,110
5,166,114
5,167,117
5,167,117
5,167,120
5,167,120
5,166,122
5,168,125
5,167,128
5,167,130
5,166,132
5,166,133
3,166,137
4,167,138
4,167,140
4,166,142
4,166,145
4,165,147
4,165,149
4,165,150
6,163,152
6,163,154
6,163,154
6,163,156
7,163,160
7,163,162
7,163,162
7,162,164
2,164,167
2,164,169
2,164,169
2,163,171
2,162,174
2,162,176
2,162,176
2,162,178
6,158,179
6,158,179
6,158,181
6,158,182
6,157,184
6,157,186
6,157,188
6,157,188
4,157,188
4,157,188
3,156,188
5,155,192
5,154,194
5,154,196
4,153,196
5,151,198
4,151,203
4,151,203
4,149,204
4,149,206
